本出版物,阐述,对抗全过程中在电磁频谱以及通过电磁频谱展开的军事行动,553,554
排序,_,和,812,208
同步,_,和,814,208
冲突,_,和,813,208
大多数联合电磁频谱作战,发生,在赛博空间以外,1031,1032
许多赛博空间行动,使用,电磁频谱,1033,564
许多赛博空间行动,建立,与目标的通信路径,1033,1034
例子,支持,赛博空间行动,1035,1036
电磁波形,_,和,1037,209
位置,_,和,732,209
位置,_,和,732,210
波形,_,和,1038,210
和,支持,威胁赛博空间行动,210,1039
行动,威胁,赛博空间,563,1040
管理能力,确保,赛博空间行动的活动与电磁作战环境中的其他军事电磁频谱活动不冲突,1041,1042
赛博空间行动的活动,冲突,与电磁作战环境中的其他军事电磁频谱活动,1043,1044
有关赛博空间行动更多的信息,参阅,联合出版物JP3_12《赛博空间行动》,1045,1046
所有太空作战,依靠,电磁频谱,1047,564
分发,_,和,742,211
感知,_,和,669,211
控制,_,和,785,211
所有太空作战,进行,和,1047,211
排序,_,和,812,212
冲突,_,和,813,212
整合,_,和,811,212
同步,_,和,814,212
同步,_,和,814,213
排序,_,和,812,213
冲突,_,和,813,213
整合,_,和,811,213
例子,支持,太空作战,1035,1048
辐射源,干扰,卫星链路,1049,1050
链路,_,或,745,214
链路,_,或,745,215
活动,_,与,750,216
干扰,_,以及,891,217
可能性,_,以及,1051,217
EMI,_,以及,924,217
人员,_,以及,784,217
装备,_,以及,703,217
风险,_,以及,1052,217
攻击,_,和,598,218
管理,_,和,597,218
防护,_,和,599,218
导航,_,和,743,219
授时,_,和,749,219
定位,_,和,753,219
己方部队,使用,和,1053,219
敌方,使用,这些信息,637,1054
有关太空作战更多的信息,参阅,联合出版物JP3_14《太空作战》,1055,1056
联合电磁频谱作战,提供,流程,587,937
能力,_,和,747,220
装备,_,和,703,220
系统,_,和,621,220
部队,_,和,559,220
危害,_,和,1057,221
兼容性,_,和,1058,221
EMI,_,和,924,221
干扰,_,和,891,221
脉冲,_,和,1059,221
电磁环境效应的例子,包括,和,1060,221
雷电,_,以及,1061,222
干扰,_,以及,891,222
天气,_,以及,651,222
影响,_,以及,627,222
危害,_,以及,1057,222
电磁辐射危害,包括,以及,1062,222
装备,_,和,703,223
装置,_,和,1063,223
系统,_,和,621,223
装备,_,和,703,224
装置,_,和,1063,224
系统,_,和,621,224
和,使用,电磁频谱,224,564
装备,_,和,703,225
装置,_,和,1063,225
系统,_,和,621,225
运用,_,来,1064,226
实现,_,来,1065,226
电磁兼容,涉及,来,1066,226
手段,_,或,1067,227
核爆,_,或,1068,227
武器,_,或,707,227
现象,_,或,931,227
电磁脉冲,是,或,905,227
武器,_,或,707,228
核爆,_,或,1068,228
手段,_,或,1067,228
现象,_,或,931,228
或,产生,电磁辐射,228,605
电压,_,和,1069,229
电流,_,和,1070,229
电磁脉冲,产生,和,905,229
高空电磁脉冲,产生,极大的破坏性场强,1071,1072
定向能武器,产生,极大的破坏性场强,782,1072
装备,_,和,703,230
防护,_,和,599,230
设施,_,和,786,230
人员,_,和,784,230
屏蔽,_,和,1073,230
防护,_,和,599,231
屏蔽,_,和,1073,231
发射机或天线装置,产生,超过安全水平的电磁辐射,1074,1075
电磁辐射,超过,安全水平,605,1076
人员,_,和,784,232
军械,_,和,1077,232
燃料,_,和,1078,232
发射机或天线装置,确保,作业安全,1074,1079
在电磁频谱中工作的系统,受,电磁环境效应的影响,1080,1081
装备,_,和,703,233
平台,_,和,618,233
系统,_,和,621,233
设备,_,和,704,233
军械,_,和,1077,233
设计,_,和,1082,234
测试,_,和,1083,234
和,暴露,和,234,233
互操作性,_,和,1084,235
安全性,_,和,1085,235
可靠性,_,和,1086,235
互操作性,_,和,1084,236
可靠性,_,和,1086,236
安全性,_,和,1085,236
性能,存在,明显的降级(无法完成指定任务),1087,1088
其,存在,电磁易损性,729,1089
联合电磁频谱作战规划人员,确定,电磁环境效应的关键影响,909,1090
手段,缓解,电磁环境效应,1067,1091
接收,_,与,603,237
发射,_,与,604,237
属性,_,和,939,238
位置,_,和,732,238
发射,_,和,604,238
时间,_,和,622,238
接收,_,和,603,238
有关电磁环境效应更多的信息,参阅,国防部指令DODI3222.03《国防部电磁环境效应项目》,1092,1093
指挥,_,和,783,239
整合,_,和,811,239
同步,_,和,814,239
活动,_,与,750,240
能力,_,与,747,240
与,有助于,和,240,239
活动,_,与,750,241
能力,_,与,747,241
联合部队指挥官,整合,与,1094,241
能力,_,与,747,242
活动,_,与,750,242
联合部队指挥官,同步,与,1094,242
能力,_,与,747,243
活动,_,与,750,243
的作战行动,依赖,电磁频谱,1095,564
管理,_,和,597,244
整合,_,和,811,244
这些行动,进行,和,1096,244
光学,_,和,1097,245
频段,_,和,1098,245
微波,_,和,612,245
无线电,_,和,831,245
频谱,_,和,734,245
指挥官的指挥控制,依赖,和,1099,245
微波,_,和,612,246
光学,_,和,1097,246
无线电,_,和,831,246
这些频段,受到,敌方的对抗,1100,1101
敌方,_,和,637,247
对手,_,和,636,247
民用,_,和,568,247
应用,_,和,632,247
商用,_,和,571,247
联合电磁频谱作战,消除,和,587,247
同步,_,和,814,248
排序,_,和,812,248
联合电磁频谱作战,保护,联合部队通信系统,587,1102
联合部队通信系统,受,敌方电磁攻击的威胁,1102,1103
指挥,_,和,783,249
控制,_,和,785,249
在电磁频谱中的作战,受到,和,1104,249
了解作战环境,是,联合作战的基础,1105,1106
传感器,依赖,于频谱,776,1107
无论是有源的(如合成孔径雷达)还是无源的(如情报监视侦察平台、无线电扫描仪、红外照相机),提供,近实时感知作战环境态势所需的大部分信息,1108,1109
近实时感知作战环境态势,需,信息,1110,1000
无论是有源的(如合成孔径雷达)还是无源的(如情报监视侦察平台、无线电扫描仪、红外照相机),提供,支持,1108,588
判断,_,和,1111,250
产品,_,和,1112,250
作战环境的联合情报准备,是,和,1113,250
判断,_,和,1111,251
产品,_,和,1112,251
联合情报机构,生成,和,1114,251
作战环境的联合情报准备,提供,支持,1113,588
排序,_,和,812,252
同步,_,和,814,252
整合,_,和,811,252
联合电磁频谱作战,增强,情报活动,587,1115
联合电磁频谱作战,是,支持火力的关键使能器,587,1116
使能器,支持,火力,1117,1118
削弱,_,和,777,253
欺骗,_,和,736,253
摧毁,_,和,778,253
中断,_,和,1119,253
电磁攻击能力(包括定向能),产生,和,1120,253
削弱,_,和,777,254
欺骗,_,和,736,254
中断,_,和,1119,254
摧毁,_,和,778,254
指挥,_,和,783,255
需求,_,和,579,255
导引头,_,和,1121,255
传感器,_,和,776,255
数据链,_,和,1001,255
控制,_,和,785,255
许多火力系统,具有,和,1122,255
目标瞄准传感器,依赖,于频谱,1123,1107
联合电磁频谱作战管理职能,消除,这些系统间的冲突,1124,1125
排序,_,和,812,256
整合,_,和,811,256
联合电磁频谱作战管理职能,进行,和,1124,256
联合电磁频谱作战管理职能,保护,它们,1124,641
它们,受,敌方电磁频谱作战的影响,641,1126
领域,_,和,1127,257
是,_,和,853,257
电磁战,_,和,791,257
作战,_,和,868,257
作战,_,和,868,258
领域,_,和,1127,258
电磁战,_,和,791,258
领域,_,和,1127,259
电磁战,_,和,791,259
作战,_,和,868,259
和,产生,协同效应,259,1128
致命,_,或,1129,260
电磁攻击,产生,或,887,260
支援,_,和,794,261
情报,_,和,806,261
武器化,_,和,1130,262
瞄准,_,和,752,262
和,提供,和,261,262
运动,_,与,1131,263
机动,_,与,1132,263
运动,_,与,1131,264
机动,_,与,1132,264
与,获取,对敌方的优势地位,264,1133
模式,_,与,1134,265
频率,_,与,606,265
方向,_,与,1135,265
波形,_,与,1038,265
特性,_,与,685,265
功率,_,与,620,265
用频系统,改变,与,1136,265
联合部队,使用,电磁攻击,601,887
联合部队,占用,关键频段,601,1137
联合部队,引导,敌方,601,637
敌方,使用,电磁频谱,637,564
致命,_,和,1129,266
联合部队,产生,和,601,266
机动部队,进行,有效的联合行动,1138,1139
支持,_,和,588,267
防护,_,和,599,267
火力,_,和,1118,267
控制,_,和,785,267
信息,_,和,1000,267
情报,_,和,806,267
联合电磁频谱作战,提供,和,587,267
联合电磁频谱作战,提供,保护,587,933
敌方,_,和,637,268
对手,_,和,636,268
商用,_,和,571,268
民用,_,和,568,268
联合电磁频谱作战,消除,和,587,268
民用,_,和,568,269
商用,_,和,571,269
敌方,_,和,637,269
对手,_,和,636,269
和,使用,电磁频谱,269,564
联合部队战斗识别系统,确定,优先级,1140,1141
联合电磁频谱作战,进行,整合,587,811
联合电磁频谱作战,保护,它们,587,641
它们,受,敌方电磁攻击的影响,641,1142
对手,_,与,636,270
通信,_,与,668,270
商用,_,与,571,270
民用,_,与,568,270
使用,_,与,787,270
联合电磁频谱作战,消除,与,587,270
民用/商用/对手/敌方,使用,电磁频谱,1143,564
联合电磁频谱作战,确定,优先级,587,1141
联合电磁频谱作战,同步,各组成部队的通信,587,1144
联合电磁频谱作战,保护,联合部队通信,587,1145
联合部队通信,受,敌方电磁攻击的影响,1145,1142
维护活动,提供,支持,1146,588
由联合电磁频谱作战提供支持的维护活动,确保,行动自由,1147,1148
由联合电磁频谱作战提供支持的维护活动,扩大,作战范围,1147,1149
由联合电磁频谱作战提供支持的维护活动,延长,战斗持续时间,1147,1150
联合电磁频谱作战,是,贯穿电磁作战环境的信息活动(如公共事务、军事信息支援行动、赛博空间行动)的关键使能器,587,1151
信息活动,贯穿,电磁作战环境,1152,634
规划,_,与,808,271
实施,_,与,840,271
与,是,联合部队指挥官的职权,271,1153
要求,_,以及,1154,272
分派,_,以及,1155,272
数量,_,以及,682,272
规模,_,以及,1156,272
完成,_,以及,1157,272
以及,是,影响参谋机构的因素,272,1158
因素,影响,参谋机构,631,1159
需求,_,和,579,273
职能,_,和,1160,273
机构,_,和,652,273
本章,规划,和,1161,273
需求,_,和,579,274
职能,_,和,1160,274
机构,_,和,652,274
实施,_,和,840,275
规划,_,和,808,275
本章,介绍,和,1161,275
各军种,实施,电磁频谱作战,1162,660
职能,_,/,1160,276
军种,_,/,1163,276
本章,提供,/,1161,276
军种,_,/,1163,277
职能,_,/,1160,277
/,组成,部队,277,559
联合部队指挥官参谋的联合电磁频谱作战职能,进行,交互,1164,1165
颁布,_,与,1166,278
评估,_,与,978,278
指南,_,与,809,278
规划,_,与,808,278
制定,_,与,1167,278
实施,_,与,840,278
政策,_,与,663,278
联合部队指挥官,负责,与,1094,278
政策,_,与,663,279
实施,_,与,840,279
指南,_,与,809,279
规划,_,与,808,279
评估,_,与,978,279
政策,_,与,663,280
实施,_,与,840,280
指南,_,与,809,280
规划,_,与,808,280
评估,_,与,978,280
政策,_,与,663,281
指南,_,与,809,281
人员,受训,联合电磁频谱作战,784,587
指挥官,_,及其,714,282
及其,建立,一个常设的联合电磁频谱作战分队,282,1168
指挥官,_,及其,714,283
及其,支持,指派部队的电磁频谱,283,1169
作战指挥官,得到,支持,844,588
每位得到支持的作战指挥官,制定,指挥政策,1170,1171
获得,_,及其,1172,284
授权,_,及其,1173,284
区域,_,及其,727,284
完成,_,及其,1157,284
司令部,_,及其,555,284
使用,_,及其,787,284
每位得到支持的作战指挥官,明确,及其,1170,284
指定的军事力量,使用,电磁频谱,1174,564
指定的军事力量,完成,指定任务,1174,1175
指挥官,得到,支持,714,588
每位得到支持的联合部队指挥官,传达,在联合作战区域内获取电磁频谱优势的指南,1176,1177
意图,_,以及,1178,285
说明,_,以及,996,285
方式,_,以及,1179,285
需求,_,以及,579,285
指导,_,以及,979,285
该指南,包含,以及,1180,285
较低层级,解决,用户优先级问题,1181,1182
力量,_,和,623,286
当局,_,和,1183,286
和,保持,密切联系,286,1184
当局,_,和,1183,287
力量,_,和,623,287
作战,_,和,868,288
训练,_,和,577,288
演习,_,和,1185,288
规划,_,和,808,288
和,确保,和,287,288
用频,_,和,1186,289
使用,_,和,787,289
传输,_,和,748,289
规程,_,和,810,289
政策,_,和,663,289
保护,_,和,933,289
规程,_,和,810,290
政策,_,和,663,290
和,保护,用频系统的可重编程波形(即电磁频谱技术数据),290,1187
政策,_,和,663,291
传输,_,和,748,291
保护,_,和,933,291
规程,_,和,810,291
使用,_,和,787,291
用频,_,和,1186,291
特征,_,与,848,292
中立方,_,与,639,292
管理,_,以及,597,293
规划,_,以及,808,293
评估,_,以及,978,293
协调,_,以及,800,293
监控,_,以及,980,293
实施,_,以及,840,293
电磁频谱协调机构,进行,以及,1188,293
联合部队指挥官,授予,电磁频谱协调权,1094,1189
联合部队,指派,任务,601,625
技能,_,和,1190,294
任务,_,和,625,294
和,决定,实际授权,294,1191
授权代表,联络,联合电磁频谱作战分队队长,1192,1193
授权代表,履行,职能,1192,1160
指南,指导,电磁频谱作战,809,660
指南,支持,联合电磁频谱作战,809,587
说明,_,以及,996,295
目标,_,以及,761,295
指南,_,以及,809,295
优先级,_,以及,1141,295
清单,_,以及,1194,295
规划,_,以及,808,295
指令,_,以及,1195,295
指令,_,以及,1195,296
说明,_,以及,996,296
目标,_,以及,761,296
规划,_,以及,808,296
清单,_,以及,1194,296
优先级,_,以及,1141,296
联合参谋部各处(如联合参谋部情报处(J_2)、联合参谋部作战处(J_3)、联合参谋部后勤处(J_4)、联合参谋部规划处(J_5)、联合参谋部通信系统处(J_6)),提供,所需的支持,1196,1197
要求,_,与,1154,297
限制,_,与,1198,297
限制,_,和,1198,298
要求,_,和,1154,298
流程,整合,和,937,298
国家,受,影响,1199,627
同步,_,以及,814,299
排序,_,以及,812,299
整合,_,以及,811,299
管理,_,以及,597,299
冲突,_,以及,813,299
所有联合电磁频谱用户之间,需,协调,1200,800
规程,_,和,810,300
政策,_,和,663,300
用户,定义,作战场景,1201,1202
目标,_,和,761,301
优势,_,和,1203,301
发射,_,或,604,302
停止,_,或,1204,302
电磁攻击控制权,是,或,1205,302
发射,_,或,604,303
停止,_,或,1204,303
指挥官,发出,或,714,303
指挥官,停止,发射,714,604
由联合部队指挥官,授权,该项权力,1206,1207
指挥官,具备,以下能力,714,1208
系统,具有,电磁攻击能力,621,1209
联合部队电磁攻击辐射活动,符合,电磁,1210,1030
联合电磁频谱作战分队内的联合频率管理办公室代表,协调,电磁频谱管理工作,1211,1212
电磁频谱管理代表,负责,联合电磁频谱作战分队的电磁频谱管理领导/协调工作,1213,1214
_1,提供,指导,1215,979
干扰,_,和,891,304
管理,_,和,597,304
EMI,_,和,924,304
机构,_,或,652,305
所在国,_,或,1008,305
使用限制指南,适用,或,1216,305
与批准的电磁频谱协调措施,保持,一致,1217,1218
与联合部队各组成部队,协调,电磁频谱需求,1219,1220
特遣部队,_,或,1221,306
部队,_,或,559,306
联合,_,或,799,307
部队,_,或,559,307
或,提交,电磁频,307,1222
发布,_,和,989,308
更新,_,和,1223,308
协调,_,和,800,308
制定,_,和,1167,308
维护,_,和,1224,309
规划,_,和,808,309
控制,_,和,785,309
使用,_,和,787,309
协调,_,和,800,309
和,需,通用,309,1225
通信,_,和,668,310
雷达,_,和,830,310
发射机,_,和,647,310
接收机,_,和,709,310
传感器,_,和,776,310
无人机,_,和,1226,310
该频率数据库,包含,和,1227,310
人员,_,和,784,311
成员,_,和,1228,311
联合电磁频谱作战分队核心成员,代表,联合参谋部情报处,1229,1230
整合,_,和,811,312
去,_,和,1231,312
排序,_,和,812,312
规划,_,和,808,312
协调,_,和,800,312
冲突,_,和,813,312
同步,_,和,814,312
联合电磁频谱作战分队核心成员,负责,和,1229,312
行动,_,与,563,313
搜集,_,与,751,313
搜集,_,和,751,314
输入,_,和,1232,314
中立方,_,和,639,315
所在国,_,和,1008,315
敌方,_,和,637,315
对手,_,和,636,315
联合电磁频谱作战分队,确定,电磁干扰(EMI)来源,845,1233
联合电磁频谱作战分队,确定,目标,845,761
活动,_,和,750,316
能力,_,和,747,316
确保作战环境的联合情报准备中,包含,和,1234,316
活动,_,和,750,317
能力,_,和,747,317
联络人,_,或,1235,318
作战,_,或,868,318
电磁战,_,或,791,318
人员,_,或,784,318
配备,_,或,1236,318
评估,_,或,978,318
行动,_,或,563,318
行动,_,或,563,319
作战,_,或,868,319
联络人,_,/,1235,320
电磁战,_,/,791,320
人员,_,/,784,320
作战,_,/,868,320
战斗损伤评估小组,配备,/,1237,320
人员,受,联合电磁频谱作战/电磁战训练,784,1238
联络人,受,联合电磁频谱作战/电磁战训练,1235,1238
作战,_,或,868,321
电磁战,_,或,791,321
战斗损伤评估小组,评估,或,1237,321
作战,_,或,868,322
行动,_,或,563,322
导航,_,和,743,323
授时,_,和,749,323
联合电磁频谱作战分队,确定,和,845,323
授时,_,和,749,324
导航,_,和,743,324
来源,影响,指控技术操作,864,1239
联合部队指挥官,指定,协调机构,1094,1240
评估,_,和,978,325
方法,_,和,942,325
危害,_,和,1057,326
配置,_,或,1241,327
采办,_,或,1242,327
大气,_,和,1243,328
太空,_,和,805,328
现象,_,和,931,328
效应,_,和,1244,328
大气,_,和,1243,329
太空,_,和,805,329
和,影响,电磁作战环境,329,634
维护,_,和,1224,330
分发,_,和,742,330
支援,_,和,794,330
为电磁频谱作战分队确定的优先级高的部队,协调,和,1245,330
与联合电磁频谱作战分队,确保,将联合电磁频谱作战纳入计划,1246,1247
所在国,_,和,1008,331
合作方,_,和,1248,331
和,制定,协调程序,331,1249
联合部队指挥官,指定,机构,1094,652
联合电磁频谱作战分队核心成员,代表,联合参谋部通信系统处,1229,1250
整合,_,和,811,332
排序,_,和,812,332
同步,_,和,814,332
去,_,和,1231,332
冲突,_,和,813,332
规划,_,和,808,332
协调,_,和,800,332
干扰,_,所,891,333
破坏,_,所,916,333
EMI,_,所,924,333
联合电磁频谱作战分队,解决,所,845,333
联合电磁频谱作战小组,开发,电磁频谱数据库,1251,1252
与所在国电磁频谱组织,协商,军用电磁频谱的使用,1253,1254
管理,_,和,597,334
运行,_,和,1255,334
控制机构,管理,联合通信网,1256,1257
控制机构,运行,联合通信网,1256,1257
演习,_,与,1185,335
作战,_,与,868,335
作战,_,与,868,336
演习,_,与,1185,336
需求,_,与,579,337
缺口,_,与,1258,337
与联合电磁频谱作战分队,确定,与,1246,337
配置,_,或,1241,338
采办,_,或,1242,338
联合电磁频谱作战分队队长,是,指挥官在电磁频谱相关问题,1193,1259
联合部队指挥官,达成,目标,1094,761
评估,_,和,978,339
标识,_,和,1260,339
能,_,及其,790,340
系统,_,及其,621,340
区域,_,及其,727,340
状态,_,和,1261,341
能力,_,和,747,341
数量,_,和,682,341
资源,_,和,872,341
类型,_,和,1262,341
类型,_,和,1262,342
状态,_,和,1261,342
数量,_,和,682,342
类型,_,和,1262,343
数量,_,和,682,343
状态,_,和,1261,343
实现联合部队指挥官目标,需,资源,1263,872
联合,_,和,799,344
活动,_,和,750,344
作战,_,和,868,344
联合,_,和,799,345
作战,_,和,868,345
活动,_,和,750,345
程序,_,和,944,346
区域,_,和,727,346
指南,_,和,809,346
政策,_,和,663,346
措施,_,和,997,346
联合部队指挥官指南,为,电磁频谱优先级,1264,1265
威胁,_,和,841,347
活动,_,和,750,347
冲突,_,和,813,347
分配,_,及其,990,348
作战,_,及其,868,348
命令,_,和,1266,349
指示,_,和,1267,349
指示,_,与,1267,350
命令,_,与,1266,350
常设的联合电磁频谱作战分队以外的专业技能,解决,问题,1268,1269
未来,_,和,1270,351
当前,_,和,1271,351
规划,_,和,808,352
协调,_,和,800,352
实施,_,和,840,352
评估,_,和,978,352
情报需求,支持,联合电磁频谱作战,1272,587
与联合参谋部情报处(J_2),提出,电磁频谱使用优先级建议,1273,1274
分析,_,和,991,353
建模,_,和,1275,353
仿真,_,和,1276,353
建模,_,和,1275,354
分析,_,和,991,354
仿真,_,和,1276,354
己方,_,以及,638,355
中立方,_,以及,639,355
威胁方,_,以及,710,355
己方,_,以及,638,356
中立方,_,以及,639,356
威胁方,_,以及,710,356
联合,_,和,799,357
国,_,和,585,357
规划,_,和,808,358
实施,_,和,840,358
3320.02《联合频谱干扰解决方案》,执行,联合频谱干扰解决方案职能,1277,1278
指导,_,和,979,359
程序,_,和,944,359
流程,_,和,937,360
标准,_,和,1279,360
流程,_,和,937,361
标准,_,和,1279,361
与联合参谋部规划处(J_5),执行,所在国协调职能,1280,1281
小组,_,和,1282,362
大使馆,_,和,1283,362
所在国,_,和,1008,362
办公室,_,和,1284,362
所在国协调,涉及,和,1009,362
系统,_,/,621,363
能力,_,/,747,363
指导,_,和,979,364
程序,_,和,944,364
J_6,_,和,1285,365
J_3,_,和,1286,365
J_2,_,和,1287,365
状态,_,和,1261,366
可用性,_,和,1288,366
系统,_,和,621,366
能力,_,和,747,366
电磁频谱作战计划,组成,部队,1289,559
烟,_,与,1290,367
支持,_,与,588,367
差距,_,与,1291,367
清单,_,与,1194,367
呼号,_,与,1292,367
用频,_,与,1186,367
请求,_,与,1293,367
说明,_,与,996,367
火,_,与,1294,367
需求,_,与,579,367
能力,_,与,747,367
计划,确定,与,1295,367
电磁频谱使用需求,组成,部队,1296,559
组成部队,报告,电磁频谱的实际使用情况,1297,1298
输入,包括,只收不发的系统,1232,1299
攻击,_,和,598,368
排序,_,和,812,368
感知,_,和,669,368
通信,_,和,668,368
整合,_,和,811,368
输入,确保,和,1232,368
排序,_,和,812,369
整合,_,和,811,369
规则,_,和,1300,370
流程,_,和,937,370
用户,确保,和,1201,370
流程,_,和,937,371
规则,_,和,1300,371
流程,_,和,937,372
规则,_,和,1300,372
程序,授权,参数,944,723
用频设备,得到,正确维护,1301,1302
电磁频谱,造成,影响,564,627
指挥官,_,或,714,373
指挥官,_,或,714,374
联合电磁频谱作战分队,为,主要参谋机构,845,1303
指挥官,_,或,714,375
评估,_,和,978,376
协调,_,和,800,376
实施,_,和,840,376
规划,_,和,808,376
联合电磁频谱作战分队,负责,和,845,376
联合电磁频谱作战分队,协调,联合电磁频谱作战,845,587
指挥官,_,或,714,377
联合电磁频谱作战分队,获取,电磁频谱优势,845,596
指挥官,_,或,714,378
联合电磁频谱作战分队,保持,电磁频谱优势,845,596
指挥官,_,或,714,379
指挥官,_,或,714,380
或,结合,联合电磁频谱作战分队原有的组织职责,380,1304
指挥官,_,或,714,381
或,让,联合部队指挥官,381,1094
联合部队指挥官,实施,统一指挥,1094,1305
联合部队的统一行动,源自,联合部队职能要素(例如，信号情报、电磁频谱管理、电磁战、赛博空间,1306,1307
电磁频谱活动,组成,部队,1308,559
联合电磁频谱作战分队,加快,电磁频谱作战所需的信息流动,845,1309
电磁频谱作战,需,信息流动,660,1310
联合电磁频谱作战分队,加强,联合部队现有的指挥控制系统,845,1311
联合电磁频谱作战分队,帮助,联合部队指挥官,845,1094
联合部队指挥官,确定,电磁频谱作战优先级,1094,1312
联合部队指挥官,传达,作战意图,1094,1313
联合部队指挥官,整合,支援指挥官的能力,1094,1314
组织,_,和,1315,382
军种,_,和,1163,382
职能,_,和,1160,382
小组,_,和,1282,382
和,保持,例行联系,382,1316
这些关系,得到,完善,1317,1318
实施,_,和,840,383
评估,_,和,978,383
规划,_,和,808,383
协作网络,贯穿,和,1319,383
其,执行,指定的任务,729,1320
由联合电磁频谱作战分队,进行,联合作战区域中的联合电磁频谱作战,1321,1322
联合特遣部队的组织结构,承袭,作战司令部的组织结构,1323,1324
设施,_,和,786,384
资源,_,和,872,384
联合部队指挥官,利用,和,1094,384
联合部队指挥官,支持,实施,1094,840
有关电磁频谱作战外围支持组织更多的信息,参阅,附录D“支持联合电磁频谱作战的组织”,1325,1326
组织,支持,联合电磁频谱作战,1315,587
组织,联合,电磁频谱作战,1315,660
联合电磁频谱作战分队,是,联合部队中负责联合电磁频谱作战的常设组织,845,1327
组织,负责,联合电磁频谱作战,1315,587
管理,_,和,597,385
感知,_,和,669,385
通信,_,和,668,385
攻击,_,和,598,385
支援,_,和,794,385
建模,_,和,1275,385
分配,_,和,990,385
其核心成员,组成,和,1328,385
联合电磁频谱作战分队成员,是,长期委派,1329,1330
联合电磁频谱作战分队成员,具有,专业知识,1329,1331
联合电磁频谱作战分队成员,为,各自组织的发言人,1329,1332
联合电磁频谱作战分队,进行,协调,845,800
组成,_,和,1333,386
指挥,_,和,783,386
指挥,_,和,783,387
组成,_,和,1333,387
联合电磁频谱作战分队,挂靠,在联合参谋部通信系统处(J_6),845,1334
联合电磁频谱作战分队,挂靠,在联合参谋部作战处(J_3),845,1335
运作,_,和,1336,388
接入,_,和,677,388
办公室,_,和,1284,388
获得,_,和,1172,388
J_6,_,和,1285,388
J_2,_,和,1287,388
J_3,_,和,1286,388
作战指挥官甲,选择,和,1337,388
J_6,_,和,1285,389
J_2,_,和,1287,389
办公室,_,和,1284,389
联合电磁频谱作战分队,接入,和,845,389
联合电磁频谱作战分队,获得,支持,845,588
作战指挥官乙,抽调,合适的人员,1338,1339
图2_1,给,联合电磁频谱作战分队组织结构的概念示意,1340,1341
规划,_,和,808,390
协调,_,和,800,390
指导,_,和,979,390
作战司令部联合电磁频谱作战分队,负责,和,1342,390
实施,_,和,840,391
规划,_,和,808,391
下级联合电磁频谱作战分队,负责,和,1343,391
实施,_,和,840,392
规划,_,和,808,392
技能,_,及,1190,393
成员,_,及,1228,393
联合电磁频谱作战分队,保持,及,845,393
任务,_,和,625,394
工作,_,和,1344,394
联合电磁频谱作战分队,履行,和,845,394
任务,_,和,625,395
工作,_,和,1344,395
联合电磁频谱作战分队,承担,联合频率管理办公室的所有职责(如果联合频率管理办公室完全并入联合电磁频谱作战分队),845,1345
分队,_,和,1346,396
联合电磁频谱作战分队,承担,和,845,396
分队,_,和,1346,397
和,承担,职责,397,556
联合电磁频谱作战分队的每项职能,进行,协调,1347,800
联合电磁频谱作战分队队长,是,指挥官在电磁频谱相关问题上的主要顾问,1193,1348
联合电磁频谱作战分队队长,提供,对联合电磁频谱作战的统一指挥,1193,1349
任务,需要,一位联合电磁频谱作战分队副队长,625,1350
人员,有,互补性核心专业知识,784,1351
流程,_,和,937,398
管理,_,和,597,398
分析,_,和,991,398
参谋部,_,和,1352,399
机构,_,和,652,399
部队,_,和,559,399
和,进行,同步,399,814
部队,进行,影响/利用/行动,559,1353
该部门,包含,联络官(包括多国人员),1354,1355
支援,_,和,794,400
作战,_,和,868,400
该部门,协调,和,1354,400
作战数据,相关,电磁频谱,1356,564
规划,_,和,808,401
周期,_,和,1357,401
电磁频谱管理员,位于,联合频率管理办公室,1358,1359
联合接口,控制,军官,1360,1361
军事,欺骗,计划员,679,1362
作战,_,及,868,402
联合,_,及,799,402
情报机构,相关,及,1363,402
图2_3,给,电磁频谱作战小组组织结构的概念示意,1364,1365
联合电磁频谱作战分队,具备,适当的保密性,845,1366
联合电磁频谱作战分队人员,获得,适当的许可,1367,1368
联合电磁频谱作战分队人员,支持,其各自的职责(例如军事欺骗、军事信息支援行动),1367,1369
联合电磁频谱作战分队的最佳人员配置,包括,特种技术作战人员,1370,1371
行政,_,和,1372,403
后勤,_,和,1373,403
支持,_,和,588,403
网络,_,和,1374,403
情报,_,和,806,403
通信,_,和,668,403
系统,_,和,621,403
法律,_,和,674,403
联合电磁频谱作战分队,获得,和,845,403
每个军种,有,不同的方式,1375,1376
每个军种,组织,其部队,1375,1377
规划,_,和,808,404
协调,_,和,800,404
以下信息,概述,和,1378,404
规划,_,和,808,405
协调,_,和,800,405
每个军种的电磁频谱作战,促进,和,1379,405
指挥官,_,及其,714,406
人员,_,及其,784,406
人员,_,及其,784,407
指挥官,_,及其,714,407
指挥官,_,及其,714,408
人员,_,及其,784,408
指挥官,_,及其,714,409
人员,_,及其,784,409
空间,_,和,610,410
频谱,_,和,734,410
这,是,和,672,410
空间,_,和,610,411
电磁战,_,和,791,411
空间,_,和,610,412
电磁战,_,和,791,412
和,使,陆军,412,1380
人员,_,和,784,413
设备,_,和,704,413
设施,_,和,786,413
网络,_,和,1374,413
陆军,保护,和,1380,413
频谱管理行动,确保,陆军接入电磁频谱并消除冲突,1381,1382
陆军,接,电磁频谱,1380,564
陆军,消除,冲突,1380,813
